City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Hīt,IQ,80.78,clear sky,33.6416,42.8251,صالون زيرو
423,Bilma,NE,80.89,clear sky,18.6853,12.9164,Expeditions Ténére voyages
424,Ţahţā,EG,72.1,clear sky,26.7693,31.5021,مصطفي عساف
425,Nhulunbuy,AU,88.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
426,Garh Maharaja,PK,85.5,broken clouds,30.8339,71.9053,Zaki Pansar Shop
427,Santa Cruz Cabrália,BR,75.43,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
429,Kiryat Gat,IL,71.4,few clouds,31.61,34.7642,OlusHome
431,Tremedal,BR,72.21,clear sky,-14.9758,-41.4108,Pousada Estillos
432,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
433,Kamphaeng Phet,TH,80.02,overcast clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
435,Tabuk,PH,83.88,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
437,Aska,IN,80.71,clear sky,19.6061,84.6725,Gopi Raman Jha Home
438,Aloleng,PH,85.69,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
440,Jacobina,BR,71.62,clear sky,-11.1806,-40.5183,HOSTEL JACOBINA
441,Gushikawa,JP,87.39,few clouds,26.3544,127.8686,Kirari Guest House
443,Ixtapa,MX,83.43,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
446,Sur,OM,83.12,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
447,Lorengau,PG,86.27,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
449,Kinablangan,PH,82.35,moderate rain,7.6947,126.5503,Danny Moreno Property
450,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
453,Harper,LR,77.27,light rain,4.375,-7.7169,Screensaver
456,Manaure,CO,84.92,overcast clouds,11.7751,-72.4445,Hotel Palaaima
458,Naze,JP,80.15,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
459,Jasper,US,67.82,clear sky,37.2001,-94.3502,Guest House Motel
460,Abū Zabad,SD,73.42,few clouds,12.35,29.25,حامد محمد نور
461,Marabá,BR,73.85,overcast clouds,-5.3686,-49.1178,Hotel Del Principe
462,Warrensburg,US,69.06,thunderstorm,38.7628,-93.7361,Comfort Inn Warrensburg Station
463,Mirador,BR,75.72,few clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
468,Hobyo,SO,77.9,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
469,Hirara,JP,81.97,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
470,Clovis,US,84.09,haze,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
478,Galle,LK,80.19,broken clouds,6.0367,80.217,Amangalla
479,Cap Malheureux,MU,71.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
481,Shingū,JP,78.67,clear sky,33.7333,135.9833,Shingu UI Hotel
483,Mayumba,GA,75.4,light rain,-3.432,10.6554,LIKWALE LODGE
484,Nautla,MX,78.57,overcast clouds,20.2167,-96.7833,Casa Blanca
487,Inhambane,MZ,73.8,overcast clouds,-23.865,35.3833,Oceano
488,Sydney,AU,78.31,clear sky,-33.8679,151.2073,The Grace Sydney
489,Dubbo,AU,68.13,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
490,Celestún,MX,82.35,overcast clouds,20.8667,-90.4,Posada Lilia
491,Fengxian,CN,82.24,overcast clouds,34.7039,116.5872,Tongrenju Hotel
493,Sungai Penuh,ID,72.27,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
494,Teahupoo,PF,78.76,few clouds,-17.8333,-149.2667,Vanira Lodge
495,Phuket,TH,86.09,few clouds,8.0,98.25,The Surin
496,Pacific Grove,US,79.25,mist,36.6177,-121.9166,Lovers Point Inn
500,San Quintín,MX,75.04,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
503,Corn Island,NI,82.49,overcast clouds,12.1694,-83.0418,Big Fish Guest House
504,São Filipe,CV,79.54,broken clouds,14.8961,-24.4956,Hotel Xaguate
505,Alice Springs,AU,72.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
511,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
515,Porto-Novo,BJ,75.49,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
516,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
519,Amahai,ID,81.52,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
522,Milledgeville,US,71.47,overcast clouds,33.0801,-83.2321,Hampton Inn Milledgeville
523,Luanda,AO,71.6,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
524,Plácido de Castro,BR,79.9,few clouds,-10.3353,-67.1856,Hotel Carioca
528,Portland,US,66.76,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
529,Nuevo Progreso,MX,77.47,light rain,23.1667,-97.95,Balneario Rio el Paraiso
530,Tual,ID,81.05,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
539,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
541,Weligama,LK,79.79,overcast clouds,5.9667,80.4167,Weligama Bay Resort
542,Ponta Delgada,PT,73.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
545,Manzanillo,CU,76.78,moderate rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
546,Jiexiu,CN,67.68,light rain,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
547,Esim,GH,76.03,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
548,Portel,BR,74.01,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
549,Eirunepé,BR,77.13,overcast clouds,-6.6603,-69.8736,Atrás de você
550,Farīdpur,BD,82.4,few clouds,23.6,89.8333,Progoti hostel
552,San Vicente,AR,65.05,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
554,Phalaborwa,ZA,67.5,scattered clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
555,Antalaha,MG,67.73,broken clouds,-14.9003,50.2788,Hotel Vitasoa
556,Yarmouth,US,66.99,clear sky,41.7057,-70.2286,Blue Rock Resort
557,Balabac,PH,82.08,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
562,Mweka,CD,68.02,light rain,-4.85,21.5667,Guest House Boshab
564,Sibolga,ID,83.35,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
565,La Cruz,MX,80.62,overcast clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
566,Lamar,US,75.36,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
568,Chiredzi,ZW,78.62,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
575,Ugoofaaru,MV,82.33,overcast clouds,5.6667,73.0,Ungoofaaru Inn
577,La Fria,VE,84.31,scattered clouds,8.2203,-72.2439,Estacionamiento de los toledos.
578,Shimoda,JP,75.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
